"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages"
"Enrolled last 7-days","hs_7_day_enrollment","number","The total during the past 7 days, based on your portal's time zone.","automationplatformflow","false","","true","true","false","false","false","true","HubSpot","Sales view (5)"
"Action types","hs_action_types","enumeration","","automationplatformflow","false","","true","true","false","true","false","true","HubSpot",""
"Team ids","hs_all_team_ids","enumeration","Which teams have access to the workflow","automationplatformflow","false","","true","true","false","true","false","true","HubSpot","Sales view (2)"
"Campaigns","hs_campaign_guids","string","Campaigns that list this workflow as an asset.","automationplatformflow","false","","true","true","false","false","false","true","HubSpot","Sales view (3)"
"Contact object's trigger","hs_classic_workflow_type","enumeration","Only applicable to older workflows with the ""Contact"" object type.","automationplatformflow","false","[{""label"":""Contact date property"",""value"":""PROPERTY_ANCHOR"",""displayOrder"":0,""doubleData"":0.0,""hidden"":false,""description"":""Date-based workflow that enrolls objects based on a contact property"",""readOnly"":false},{""label"":""Fixed date"",""value"":""STATIC_ANCHOR"",""displayOrder"":1,""doubleData"":0.0,""hidden"":false,""description"":""Date-based workflow that enrolls objects based on a fixed date"",""readOnly"":false},{""label"":""Standard"",""value"":""STANDARD"",""displayOrder"":2,""doubleData"":0.0,""hidden"":false,""description"":""Standard workflow that enrolls objects based on entry criteria"",""readOnly"":false}]","true","true","false","false","false","true","HubSpot","Sales view (2)"
"Conversion Reporting Enabled","hs_conversion_reporting_enabled","bool","Flag indicating flow is enabled for conversion reporting","automationplatformflow","false","[{""label"":""Yes"",""value"":""true"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""No"",""value"":""false"",""displayOrder"":1,""hidden"":false,""readOnly"":false}]","true","true","false","false","false","true","HubSpot",""
"Object create date/time","hs_createdate","datetime","The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.","automationplatformflow","false","","true","true","false","false","false","true","HubSpot","Sales view (2)"
"Current issues","hs_current_active_risk_count","number","Issues that haven't been reviewed yet.","automationplatformflow","false","","true","true","false","false","false","true","HubSpot","Sales view (3)"
"Currently Enrolled","hs_currently_enrolled","number","","automationplatformflow","false","","true","true","false","false","false","true","HubSpot","Sales view (1)"
"Deleted on","hs_deleted_at","datetime","","automationplatformflow","false","","true","true","false","false","false","true","HubSpot",""
"Deleted By","hs_deleted_by","number","User that deleted the workflow","automationplatformflow","false","","true","true","false","false","false","true","HubSpot",""
"Description","hs_description","string","","automationplatformflow","false","","true","true","false","false","false","true","HubSpot","Sales view (5)"
"On or Off","hs_enabled","bool","""On"" means that any enrollees will proceed through the workflow's actions.","automationplatformflow","false","[{""label"":""True"",""value"":""true"",""displayOrder"":0,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""False"",""value"":""false"",""displayOrder"":1,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false}]","true","true","false","false","false","true","HubSpot","Sales view (5)"
"Enrollment Notification","hs_enrollment_notification_enabled","bool","","automationplatformflow","false","[{""label"":""On"",""value"":""true"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""Off"",""value"":""false"",""displayOrder"":1,""hidden"":false,""readOnly"":false}]","true","true","false","false","false","true","HubSpot","Sales view (2)"
"Trigger Type","hs_enrollment_trigger","enumeration","","automationplatformflow","false","[{""label"":""--"",""value"":""NEW"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""Events"",""value"":""EVENT"",""displayOrder"":1,""hidden"":false,""readOnly"":false},{""label"":""Filter criteria"",""value"":""LIST"",""displayOrder"":2,""hidden"":false,""readOnly"":false}]","true","true","false","false","false","true","HubSpot","Sales view (4)"
"Created on","hs_flow_created_at","datetime","","automationplatformflow","false","","true","true","false","false","false","true","HubSpot","Sales view (4)"
"Created by","hs_flow_created_by_user_id","number","","automationplatformflow","false","","true","true","false","false","false","true","HubSpot","Sales view (5)"
"Flow ID","hs_flow_id","number","ID of the platform flow","automationplatformflow","false","","true","true","false","false","false","true","HubSpot",""
"Updated on","hs_flow_updated_at","datetime","","automationplatformflow","false","","true","true","false","false","false","true","HubSpot","Sales view (4)"
"Updated by","hs_flow_updated_by_user_id","number","","automationplatformflow","false","","true","true","false","true","false","true","HubSpot","Sales view (5)"
"Folder","hs_folder_id","number","Name of the containing folder","automationplatformflow","false","","true","true","false","false","false","true","HubSpot","Sales view (3)"
"Is accessible","hs_is_accessible","bool","Is the workflow accessible by the portal or have they lost access (eg. scope loss). No value means they DO have access","automationplatformflow","false","[{""label"":""Yes"",""value"":""true"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""No"",""value"":""false"",""displayOrder"":1,""hidden"":false,""readOnly"":false}]","true","true","false","false","false","true","HubSpot","Sales view (1)"
