"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages"
"Call notes","hs_call_body","string","The body of the call","call","false","","false","true","false","false","false","true","HubSpot","Report (1); Sales view (2)"
"Call direction","hs_call_direction","enumeration","The direction of a call","call","false","[{""label"":""Inbound"",""value"":""INBOUND"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""Outbound"",""value"":""OUTBOUND"",""displayOrder"":1,""hidden"":false,""readOnly"":false}]","false","true","false","false","false","true","HubSpot","Report (14); Dataset (2); Sales view (2)"
"Call outcome","hs_call_disposition","enumeration","The outcome of the call","call","false","","false","true","false","true","false","true","HubSpot","Rollup property (9); Report (18); Dataset (2); Sales view (2)"
"Call duration","hs_call_duration","number","The duration of the call, in milliseconds","call","false","","false","true","false","false","false","true","HubSpot","Report (2); Sales view (2)"
"From number","hs_call_from_number","string","The phone number of the person that initiated the call","call","false","","false","true","false","false","false","true","HubSpot",""
"From Number Name","hs_call_from_number_nickname","string","The name of the phone number that initiated the call","call","false","","true","true","false","false","false","true","HubSpot",""
"Transcript Available","hs_call_has_transcript","bool","Flag to indicate if the call has an associated transcript","call","false","[{""label"":""True"",""value"":""true"",""displayOrder"":0,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""False"",""value"":""false"",""displayOrder"":1,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false}]","false","true","false","false","false","true","HubSpot",""
"Voicemail Available","hs_call_has_voicemail","enumeration","Flag to indicate if the call has an associated voicemail","call","false","[{""label"":""Yes"",""value"":""true"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""No"",""value"":""false"",""displayOrder"":1,""hidden"":false,""readOnly"":false}]","true","true","false","false","false","true","HubSpot",""
"Recording URL","hs_call_recording_url","string","The URL of the recorded call audio","call","false","","false","true","false","false","false","true","HubSpot","Report (1)"
"Call Source","hs_call_source","enumeration","The source of the call to differentiate VoIP vs Video Conferencing Apps","call","false","[{""label"":""VoIP"",""value"":""VOIP"",""displayOrder"":1,""hidden"":false,""readOnly"":true},{""label"":""Zoom"",""value"":""ZOOM"",""displayOrder"":2,""hidden"":false,""readOnly"":true},{""label"":""Integrations Platform"",""value"":""INTEGRATIONS_PLATFORM"",""displayOrder"":3,""hidden"":false,""readOnly"":true}]","false","true","false","false","false","true","HubSpot","Report (2); Dataset (1)"
"Call status","hs_call_status","enumeration","The status of the call","call","false","[{""label"":""Busy"",""value"":""BUSY"",""displayOrder"":12,""hidden"":false,""readOnly"":false},{""label"":""Calling CRM User"",""value"":""CALLING_CRM_USER"",""displayOrder"":13,""hidden"":false,""readOnly"":false},{""label"":""Canceled"",""value"":""CANCELED"",""displayOrder"":14,""hidden"":false,""readOnly"":false},{""label"":""Completed"",""value"":""COMPLETED"",""displayOrder"":15,""hidden"":false,""readOnly"":false},{""label"":""Connecting"",""value"":""CONNECTING"",""displayOrder"":16,""hidden"":false,""readOnly"":false},{""label"":""Failed"",""value"":""FAILED"",""displayOrder"":17,""hidden"":false,""readOnly"":false},{""label"":""In Progress"",""value"":""IN_PROGRESS"",""displayOrder"":18,""hidden"":false,""readOnly"":false},{""label"":""Missed"",""value"":""MISSED"",""displayOrder"":19,""hidden"":false,""readOnly"":false},{""label"":""No Answer"",""value"":""NO_ANSWER"",""displayOrder"":20,""hidden"":false,""readOnly"":false},{""label"":""Queued"",""value"":""QUEUED"",""displayOrder"":21,""hidden"":false,""readOnly"":false},{""label"":""Ringing"",""value"":""RINGING"",""displayOrder"":22,""hidden"":false,""readOnly"":false},{""label"":""On Hold"",""value"":""HOLD"",""displayOrder"":11,""hidden"":false,""readOnly"":false}]","false","true","false","false","false","true","HubSpot",""
"Call summary","hs_call_summary","string","A generated summary of the call","call","false","","false","true","false","false","false","true","HubSpot",""
"Call Title","hs_call_title","string","The title of the call","call","false","","false","true","false","false","false","true","HubSpot","Sales view (2)"
"To Number","hs_call_to_number","string","The phone number of the person that was called","call","false","","false","true","false","false","false","true","HubSpot",""
"To Number Name","hs_call_to_number_nickname","string","The name of the phone number that was called","call","false","","true","true","false","false","false","true","HubSpot",""
"Tracked terms","hs_call_transcript_tracked_terms","enumeration","A list of any tracked terms contained in the call transcript","call","false","","true","true","false","true","false","true","HubSpot",""
"Connected count","hs_connected_count","number","This counter is used to report on the total number of calls that end up connected to a live recipient","call","false","","true","true","true","false","false","true","HubSpot",""
"Voicemail count","hs_voicemail_count","number","This counter is used to report on the total number of calls that end up with a voicemail","call","false","","true","true","true","false","false","true","HubSpot",""
