"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages"
"Number of Ad Campaigns","hs_ad_campaign_count","number","The number of Ad Campaigns associated with this campaign.","associations","false","","true","true","true","false","false","true","HubSpot",""
"Number of Workflows","hs_automation_platform_flows_count","number","The number of workflows associated with this campaign.","associations","false","","true","true","true","false","false","true","HubSpot",""
"Number of Blog posts","hs_blog_posts_count","number","The number of Blog posts associated with this campaign.","associations","false","","true","true","true","false","false","true","HubSpot",""
"Number of Social Posts","hs_broadcast_count","number","The number of Social Posts associated with this campaign.","associations","false","","true","true","true","false","false","true","HubSpot",""
"Number of CTAs (Legacy)","hs_cta_count","number","The number of CTAs(Legacy) associated with this campaign.","associations","false","","true","true","true","false","false","true","HubSpot",""
"Number of External Website Pages","hs_external_website_page_count","number","The number of external website pages associated with this campaign.","associations","false","","true","true","true","false","false","true","HubSpot",""
"Number of Forms","hs_form_count","number","The number of Forms associated with this campaign.","associations","false","","true","true","true","false","false","true","HubSpot",""
"Number of Landing pages","hs_landing_pages_count","number","The number of Landing pages associated with this campaign.","associations","false","","true","true","true","false","false","true","HubSpot",""
"Number of Lists","hs_list_count","number","The number of Lists associated with this campaign.","associations","false","","true","true","false","false","false","true","HubSpot",""
"Number of Emails","hs_marketing_emails_count","number","The number of emails associated with this campaign.","associations","false","","true","true","true","false","false","true","HubSpot",""
"Number of Marketing Events","hs_marketing_event_count","number","The number of Marketing Events associated with this campaign.","associations","false","","true","true","true","false","false","true","HubSpot",""
"Number of Website pages","hs_site_pages_count","number","The number of website pages associated with this campaign.","associations","false","","true","true","true","false","false","true","HubSpot",""
"Number of CTAs","hs_web_interactive_count","number","The number of CTAs associated with this campaign.","associations","false","","true","true","true","false","false","true","HubSpot",""
"Business units","hs_all_assigned_business_unit_ids","enumeration","See which business unit your campaign is in. A business unit is used to organize your brands in a shared HubSpot account","campaigninformation","false","","true","true","false","true","false","true","HubSpot",""
"Campaign audience","hs_audience","string","The audience of the campaign","campaigninformation","false","","false","true","false","false","false","true","HubSpot",""
"Campaign budget total","hs_budget_items_sum_amount","number","The sum of all campaign budget items","campaigninformation","false","","true","true","false","false","false","true","HubSpot",""
"Campaign status","hs_campaign_status","enumeration","The status of the campaign","campaigninformation","false","[{""label"":""Planned"",""value"":""planned"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""In progress"",""value"":""in_progress"",""displayOrder"":1,""hidden"":false,""readOnly"":false},{""label"":""Active"",""value"":""active"",""displayOrder"":2,""hidden"":false,""readOnly"":false},{""label"":""Paused"",""value"":""paused"",""displayOrder"":3,""hidden"":false,""readOnly"":false},{""label"":""Completed"",""value"":""completed"",""displayOrder"":4,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","true","HubSpot",""
"Campaign color","hs_color_hex","string","The hexadecimal color of the campaign","campaigninformation","false","","false","true","false","false","false","true","HubSpot",""
"Created on","hs_created_at","datetime","The date the campaign was created","campaigninformation","false","","true","true","false","false","false","true","HubSpot","Sales view (2)"
"Created by","hs_created_by_user_id","number","The user who created the campaign","campaigninformation","false","","true","true","false","false","false","true","HubSpot",""
"Campaign end date","hs_end_date","datetime","The end date of the campaign","campaigninformation","false","","false","true","false","false","false","true","HubSpot","Sales view (2)"
"Campaign goal","hs_goal","string","The goal of the campaign","campaigninformation","false","","false","true","false","false","false","true","HubSpot",""
"Merged record IDs","hs_merged_object_ids","enumeration","The list of record IDs that have been merged into this record. This value is automatically set by HubSpot and may not be modified.","campaigninformation","false","","true","true","false","true","false","true","HubSpot",""
"Campaign name","hs_name","string","The name of the campaign","campaigninformation","false","","true","true","false","false","false","true","HubSpot","Sales view (2)"
"Campaign notes","hs_notes","string","","campaigninformation","false","","false","true","false","false","false","true","HubSpot","Sales view (2)"
"Record Source Detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created","campaigninformation","false","","true","true","false","false","false","true","HubSpot",""
"Record Source Detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created","campaigninformation","false","","true","true","false","false","false","true","HubSpot",""
"Record Source Detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created","campaigninformation","false","","true","true","false","false","false","true","HubSpot",""
"Record Source","hs_object_source_label","enumeration","How this record was created","campaigninformation","false","","true","true","false","true","false","true","HubSpot",""
"Campaign Id","hs_origin_asset_id","string","The unique ID to relate this asset to its origin object","campaigninformation","false","","true","true","false","false","false","true","HubSpot","Unified event property (2)"
"Campaign owner","hs_owner","number","The user assigned to manage the overall campaign","campaigninformation","false","","false","true","false","false","false","true","HubSpot","Sales view (2)"
"Campaign spend total","hs_spend_items_sum_amount","number","The sum of all campaign spend items","campaigninformation","false","","true","true","false","false","false","true","HubSpot",""
"Campaign start date","hs_start_date","datetime","The start date of the campaign","campaigninformation","false","","false","true","false","false","false","true","HubSpot","Sales view (2)"
"Updated by user ID","hs_updated_by_user_id","number","The user that last updated this object. This value is automatically set by HubSpot and may not be modified.","campaigninformation","false","","true","true","false","false","false","true","HubSpot",""
"Campaign UTM","hs_utm","string","A campaign UTM allows website traffic to be tracked and attributed to a campaign","campaigninformation","false","","true","true","false","false","false","true","HubSpot",""
"Owner Assigned Date","hubspot_owner_assigneddate","datetime","The most recent date an owner was assigned to this object. This is set automatically by HubSpot and can be used for segmentation and reporting.","campaigninformation","false","","true","true","false","false","false","true","HubSpot",""
"Owner","hubspot_owner_id","enumeration","The owner of the object.","campaigninformation","false","","false","true","false","true","false","true","HubSpot",""
