"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages"
"Currency Code","hs_currency_code","enumeration","The currency code used in the cart.","archive_[2024_cleanup]","false","","false","true","false","true","false","true","HubSpot",""
"HubSpot Team","hubspot_team_id","enumeration","The primary team of the owner.","archive_[2024_cleanup]","false","","true","true","false","true","false","true","HubSpot",""
"Billing City","hs_billing_address_city","string","The city for the billing address.","cart_information","false","","false","true","false","false","false","true","HubSpot",""
"Billing Country","hs_billing_address_country","string","The country for the billing address.","cart_information","false","","false","true","false","false","false","true","HubSpot",""
"Billing Phone Number","hs_billing_address_phone","string","The phone number for the billing address.","cart_information","false","","false","true","false","false","false","true","HubSpot",""
"Billing ZIP/Postal Code","hs_billing_address_postal_code","string","The ZIP/postal code for the billing address.","cart_information","false","","false","true","false","false","false","true","HubSpot",""
"Billing State","hs_billing_address_state","string","The state for the billing address.","cart_information","false","","false","true","false","false","false","true","HubSpot",""
"Billing Street","hs_billing_address_street","string","The street for the billing address.","cart_information","false","","false","true","false","false","false","true","HubSpot",""
"Buyer accepts marketing","hs_buyer_accepts_marketing","bool","Whether the customer would like to receive updates (sms/email) from the shop.","cart_information","false","[{""label"":""Yes"",""value"":""true"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""No"",""value"":""false"",""displayOrder"":1,""hidden"":false,""readOnly"":false}]","false","true","false","false","false","true","HubSpot",""
"Name","hs_cart_name","string","Name in an external system for the cart.","cart_information","false","","false","true","false","false","false","true","HubSpot",""
"Cart Url","hs_cart_url","string","The recovery URL that's sent to a customer so they can recover their cart if it is abandoned.","cart_information","false","","false","true","false","false","false","true","HubSpot",""
"Created by user ID","hs_created_by_user_id","number","The user that created this object. This value is automatically set by HubSpot and may not be modified.","cart_information","false","","true","true","false","false","false","true","HubSpot",""
"Object create date/time","hs_createdate","datetime","The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.","cart_information","false","","true","true","false","false","false","true","HubSpot",""
