"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages"
"Deal Source","deal_source","enumeration","","analyticsinformation","true","[{""label"":""Inbound"",""value"":""Inbound"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""Sales"",""value"":""Sales"",""displayOrder"":1,""hidden"":false,""readOnly"":false},{""label"":""Event"",""value"":""Events"",""displayOrder"":2,""hidden"":false,""readOnly"":false},{""label"":""Partnership"",""value"":""Partnerships"",""displayOrder"":3,""hidden"":false,""readOnly"":false},{""label"":""Referral"",""value"":""Referral"",""displayOrder"":4,""hidden"":false,""readOnly"":false},{""label"":""Success"",""value"":""Success"",""displayOrder"":5,""hidden"":false,""readOnly"":false},{""label"":""Service"",""value"":""Service"",""displayOrder"":6,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","false","Unknown user","Rollup property (1); Inbounddb lists (3); Automation platform flow (10); Report (314); Dataset (2); Sales view (35); Dependent conditional field (1); Controlling conditional field (1); Properties v3 card (1)"
"Deal Source Setter","deal_source_4","enumeration","This deal source is intended to create clarity on WHO (if available) generated the deal.","analyticsinformation","false","","false","false","false","true","false","false","Kelvin Tanjuakio","Inbounddb lists (1); Automation platform flow (4); Report (33); Dataset (1); Sales view (25); Dependent conditional field (1); Properties v3 card (1)"
"Deal Source Detail 1","deal_source_detail_1","string","The first indexing of detail related to where the Deal originated from. First deals are typically from the Contact Source of the contact associated to the deal, whereas subsequent deals may come from Service/Success related motions.","analyticsinformation","true","","false","false","false","false","false","false","Kelvin Tanjuakio","Inbounddb lists (2); Automation platform flow (7); Report (93); Dataset (1); Sales view (30); Dependent conditional field (1); Properties v3 card (1)"
"Deal Source Detail 2","deal_source_detail_2","string","","analyticsinformation","true","","false","false","false","false","false","false","Kelvin Tanjuakio","Automation platform flow (4); Report (17); Dataset (1); Sales view (30); Dependent conditional field (1); Properties v3 card (1)"
"Deal Source Detail 3","deal_source_detail_3","string","","analyticsinformation","true","","false","false","false","false","false","false","Kelvin Tanjuakio","Automation platform flow (2); Report (13); Dataset (1); Sales view (21); Dependent conditional field (1); Properties v3 card (1)"
"Deal Source Edge Case","deal_source_edge_case","string","","analyticsinformation","true","","false","false","false","false","false","false","Brandon Dith-Berry","Report (1); Sales view (3)"
"Deal Source Updated","deal_source_updated","enumeration","","analyticsinformation","true","[{""label"":""Yes"",""value"":""true"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""No"",""value"":""false"",""displayOrder"":1,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","false","Brandon Dith-Berry","Report (3); Sales view (5)"
"Latest Source","hs_analytics_latest_source","enumeration","Source for the contact either directly or indirectly associated with the last session activity for this deal","analyticsinformation","false","[{""label"":""Organic Search"",""value"":""ORGANIC_SEARCH"",""displayOrder"":0,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Paid Search"",""value"":""PAID_SEARCH"",""displayOrder"":1,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Email Marketing"",""value"":""EMAIL_MARKETING"",""displayOrder"":2,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Organic Social"",""value"":""SOCIAL_MEDIA"",""displayOrder"":3,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Referrals"",""value"":""REFERRALS"",""displayOrder"":4,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Other Campaigns"",""value"":""OTHER_CAMPAIGNS"",""displayOrder"":5,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Direct Traffic"",""value"":""DIRECT_TRAFFIC"",""displayOrder"":6,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Offline Sources"",""value"":""OFFLINE"",""displayOrder"":7,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Paid Social"",""value"":""PAID_SOCIAL"",""displayOrder"":8,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false}]","true","true","true","false","false","true","HubSpot",""
"Latest Source Data 1","hs_analytics_latest_source_data_1","string","Additional source details of the last session attributed to any contacts that are directly or indirectly associated with this deal","analyticsinformation","false","","true","true","true","false","false","true","HubSpot",""
"Latest Source Data 2","hs_analytics_latest_source_data_2","string","Additional source details of the last session attributed to any contacts that are directly or indirectly associated with this deal","analyticsinformation","false","","true","true","true","false","false","true","HubSpot",""
"Latest Source Timestamp","hs_analytics_latest_source_timestamp","datetime","Timestamp of when latest source occurred for either a directly or indirectly associated contact","analyticsinformation","false","","true","true","true","false","false","true","HubSpot",""
"Original Source","hs_analytics_source","enumeration","Original source for the contact with the earliest activity for this deal.","analyticsinformation","false","[{""label"":""Organic Search"",""value"":""ORGANIC_SEARCH"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""Paid Search"",""value"":""PAID_SEARCH"",""displayOrder"":1,""hidden"":false,""readOnly"":false},{""label"":""Email Marketing"",""value"":""EMAIL_MARKETING"",""displayOrder"":2,""hidden"":false,""readOnly"":false},{""label"":""Organic Social"",""value"":""SOCIAL_MEDIA"",""displayOrder"":3,""hidden"":false,""readOnly"":false},{""label"":""Referrals"",""value"":""REFERRALS"",""displayOrder"":4,""hidden"":false,""readOnly"":false},{""label"":""Other Campaigns"",""value"":""OTHER_CAMPAIGNS"",""displayOrder"":5,""hidden"":false,""readOnly"":false},{""label"":""Direct Traffic"",""value"":""DIRECT_TRAFFIC"",""displayOrder"":6,""hidden"":false,""readOnly"":false},{""label"":""Offline Sources"",""value"":""OFFLINE"",""displayOrder"":7,""hidden"":false,""readOnly"":false},{""label"":""Paid Social"",""value"":""PAID_SOCIAL"",""displayOrder"":8,""hidden"":false,""readOnly"":false}]","false","true","false","false","false","true","HubSpot","Report (3)"
"Original Source Drill-Down 1","hs_analytics_source_data_1","string","Additional information about the original source for the associated contact, or associated company if there is no contact, with the oldest value for the Time first seen property.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","Inbounddb lists (1)"
"Original Source Drill-Down 2","hs_analytics_source_data_2","string","Additional information about the original source for the associated contact, or associated company if there is no contact, with the oldest value for the Time first seen property.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot",""
"Subscription activated at","cb_subcst_activated_at","datetime","Subscription activated at","chargebeecustomproperties","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Subscription affiliate token","cb_subcst_affiliate_token","string","Subscription affiliate token","chargebeecustomproperties","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Subscription base currency code","cb_subcst_base_currency_code","string","Subscription base currency code","chargebeecustomproperties","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Subscription billing period","cb_subcst_billing_period","number","Subscription billing period","chargebeecustomproperties","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Subscription billing period unit","cb_subcst_billing_period_unit","string","Subscription billing period unit","chargebeecustomproperties","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Subscription cancel reason","cb_subcst_cancel_reason","string","Subscription cancel reason","chargebeecustomproperties","true","","false","false","false","false","false","false","Swapnil Shinde",""
