"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages"
"Actual Spend","actual_spend","number","","events_information","true","","false","false","false","false","false","false","Brandon Dith-Berry","Calculated property (1); Sales view (1); Data highlights card (1); Properties v3 card (1)"
"Ads Opportunity","ads_opportunity","enumeration","","events_information","false","[{""label"":""Yes"",""value"":""true"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""No"",""value"":""false"",""displayOrder"":1,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","false","Brandon Dith-Berry",""
"Associated Companies","associated_companies","number","","events_information","false","","true","false","true","false","false","false","Brandon Dith-Berry","Sales view (1); Properties v3 card (1)"
"Associated Contacts","associated_contacts","number","","events_information","false","","true","false","true","false","false","false","Brandon Dith-Berry","Calculated property (1); Association card (1); Sales view (1); Properties v3 card (1); Association v3 card (1)"
"Associated Deals","associated_deals","number","","events_information","false","","true","false","true","false","false","false","Brandon Dith-Berry","Association card (1); Sales view (1); Properties v3 card (1); Association v3 card (1)"
"Attendance Ratio","attendance_ratio","number","","events_information","false","","true","false","true","false","false","false","Brandon Dith-Berry",""
"Attributed Revenue","attributed_revenue","number","","events_information","false","","false","false","false","false","false","false","Brandon Dith-Berry","Automation platform flow (1); Association card (1); Sales view (1); Association table card (1); Properties v3 card (1); Association v3 card (1)"
"Audience","audience","enumeration","","events_information","false","[{""label"":""Executives"",""value"":""Executives"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""Directors"",""value"":""Directors"",""displayOrder"":1,""hidden"":false,""readOnly"":false},{""label"":""Entrepreneurs"",""value"":""Entrepreneurs"",""displayOrder"":2,""hidden"":false,""readOnly"":false},{""label"":""Founders"",""value"":""Founders"",""displayOrder"":3,""hidden"":false,""readOnly"":false},{""label"":""SaaS Companies"",""value"":""SaaS Companies"",""displayOrder"":4,""hidden"":false,""readOnly"":false},{""label"":""Startups"",""value"":""Startups"",""displayOrder"":5,""hidden"":false,""readOnly"":false},{""label"":""Investors"",""value"":""Investors"",""displayOrder"":6,""hidden"":false,""readOnly"":false},{""label"":""VC Firms"",""value"":""VC Firms"",""displayOrder"":7,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","false","Brandon Dith-Berry",""
"Budget Workbook","budget_workbook","string","","events_information","false","","false","false","false","false","false","false","Brandon Dith-Berry",""
"City","city","string","","events_information","false","","false","false","false","false","false","false","Brandon Dith-Berry",""
"Closed Won Deals","closed_won_deals","number","","events_information","false","","true","false","true","false","false","false","Brandon Dith-Berry","Sales view (1)"
"Closed Won Revenue","closed_won_revenue","number","","events_information","false","","false","false","false","false","false","false","Brandon Dith-Berry","Automation platform flow (1); Sales view (2); Properties v3 card (1)"
"Closed Won Revenue Calculation","closed_won_revenue_calculation","number","","events_information","false","","true","false","true","false","false","false","Brandon Dith-Berry","Automation platform flow (1)"
"Comments","comments","string","","events_information","false","","false","false","false","false","false","false","Brandon Dith-Berry",""
"Cost Breakdown","cost_breakdown","string","","events_information","false","","false","false","false","false","false","false","Brandon Dith-Berry",""
"Day You Want To Meet Up","day_you_want_to_meet_up","enumeration","","events_information","true","[{""label"":""Monday 1/22"",""value"":""Monday 1/22"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""Tuesday 1/23"",""value"":""Tuesday 1/23"",""displayOrder"":1,""hidden"":false,""readOnly"":false},{""label"":""Wednesday 1/24"",""value"":""Wednesday 1/24"",""displayOrder"":2,""hidden"":false,""readOnly"":false},{""label"":""Thursday 1/25"",""value"":""Thursday 1/25"",""displayOrder"":3,""hidden"":false,""readOnly"":false},{""label"":""Friday 1/26"",""value"":""Friday 1/26"",""displayOrder"":4,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","false","Jasmine Black","Form (2)"
"Estimated Attendance","estimated_attendance","number","","events_information","false","","false","false","false","false","false","false","Brandon Dith-Berry",""
"Budget","event_budget","number","","events_information","false","","false","false","false","false","false","false","Brandon Dith-Berry","Automation platform flow (1); Object requirement (1); Sales view (1); Data highlights card (1); Properties v3 card (1)"
"Event Cancelled","event_cancelled","enumeration","","events_information","false","[{""label"":""Yes"",""value"":""true"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""No"",""value"":""false"",""displayOrder"":1,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","false","Brandon Dith-Berry","Automation platform flow (1); Properties v3 card (1)"
"Event CPL","event_cpl","number","","events_information","false","","false","false","false","false","false","false","Brandon Dith-Berry","Automation platform flow (1); Sales view (1); Properties v3 card (1)"
"Event CPL Calculation","event_cpl_calculation","number","","events_information","false","","true","false","true","false","false","false","Brandon Dith-Berry","Automation platform flow (1)"
"Description","event_description","string","","events_information","false","","false","false","false","false","false","false","Brandon Dith-Berry","Automation platform flow (1); Object requirement (1); Properties v3 card (1)"
"End Date","event_end_date","date","","events_information","false","","false","false","false","false","false","false","Brandon Dith-Berry","Automation platform flow (1); Object requirement (1); Report (1); Sales view (1); Association table card (1); Properties v3 card (1)"
"Event Name","event_name","string","","events_information","false","","false","false","false","false","false","false","Brandon Dith-Berry","Inbounddb lists (3); Automation platform flow (3); Object requirement (1); Report (28); Sales view (2)"
"Organizer","event_organizer","string","","events_information","false","","false","false","false","false","false","false","Brandon Dith-Berry","Automation platform flow (1); Object requirement (1); Properties v3 card (1)"
"Start Date","event_start_date","date","","events_information","false","","false","false","false","false","false","false","Brandon Dith-Berry","Automation platform flow (1); Object requirement (1); Sales view (1); Association table card (1); Properties v3 card (1)"
"Type","event_type","enumeration","","events_information","false","[{""label"":""Community"",""value"":""Community"",""displayOrder"":1,""hidden"":false,""readOnly"":false},{""label"":""Conference"",""value"":""Conference"",""displayOrder"":2,""hidden"":false,""readOnly"":false},{""label"":""Networking"",""value"":""Networking"",""displayOrder"":3,""hidden"":false,""readOnly"":false},{""label"":""Tradeshow"",""value"":""Tradeshow"",""displayOrder"":4,""hidden"":false,""readOnly"":false},{""label"":""Virtual"",""value"":""Virtual"",""displayOrder"":5,""hidden"":false,""readOnly"":false},{""label"":""Webinar"",""value"":""Webinar"",""displayOrder"":6,""hidden"":false,""readOnly"":false},{""label"":""Workshop"",""value"":""Workshop"",""displayOrder"":7,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","false","Brandon Dith-Berry","Automation platform flow (1); Object requirement (1); Report (1); Association table card (1); Properties v3 card (1)"
"Website","event_url","string","","events_information","false","","false","false","false","false","false","false","Brandon Dith-Berry","Automation platform flow (1); Object requirement (1); Properties v3 card (1)"
"Expense Name","expense_name","string","","events_information","false","","false","false","false","false","false","false","Brandon Dith-Berry",""
"Expense Price","expense_price","number","","events_information","false","","false","false","false","false","false","false","Brandon Dith-Berry","Calculated property (1)"
"Expense Quantity","expense_quantity","number","","events_information","false","","false","false","false","false","false","false","Brandon Dith-Berry","Calculated property (1)"
"Expense Total Cost","expense_total_cost","number","","events_information","false","","false","false","false","false","false","false","Brandon Dith-Berry",""
"Expense Total Cost Calculation","expense_total_cost_calculation","number","","events_information","false","","true","false","true","false","false","false","Brandon Dith-Berry",""
"Created by user ID","hs_created_by_user_id","number","The user that created this object. This value is automatically set by HubSpot and may not be modified.","events_information","false","","true","true","false","false","false","true","HubSpot","Properties v3 card (1)"
"Object create date/time","hs_createdate","datetime","The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.","events_information","false","","true","true","false","false","false","true","HubSpot","Automation platform flow (1); Report (1); Sales view (2)"
"Object last modified date/time","hs_lastmodifieddate","datetime","Most recent timestamp of any property update for this object. This includes HubSpot internal properties, which can be visible or hidden. This property is updated automatically.","events_information","false","","true","true","false","false","false","true","HubSpot","Automation platform flow (1)"
"Merged record IDs","hs_merged_object_ids","enumeration","The list of record IDs that have been merged into this record. This value is automatically set by HubSpot and may not be modified.","events_information","false","","true","true","false","true","false","true","HubSpot",""
"Record ID","hs_object_id","number","The unique ID for this record. This value is automatically set by HubSpot and may not be modified.","events_information","false","","true","true","false","false","false","true","HubSpot","Rollup property (1); Inbounddb lists (1); Automation platform flow (1)"
"Record Source Detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created","events_information","false","","true","true","false","false","false","true","HubSpot",""
"Record Source Detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created","events_information","false","","true","true","false","false","false","true","HubSpot",""
"Record Source Detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created","events_information","false","","true","true","false","false","false","true","HubSpot",""
"Record Source","hs_object_source_label","enumeration","How this record was created","events_information","false","","true","true","false","true","false","true","HubSpot",""
"Updated by user ID","hs_updated_by_user_id","number","The user that last updated this object. This value is automatically set by HubSpot and may not be modified.","events_information","false","","true","true","false","false","false","true","HubSpot",""
"Owner Assigned Date","hubspot_owner_assigneddate","datetime","The most recent date an owner was assigned to this object. This is set automatically by HubSpot and can be used for segmentation and reporting.","events_information","false","","true","true","false","false","false","true","HubSpot",""
"Owner","hubspot_owner_id","enumeration","The owner of the object.","events_information","false","","false","true","false","true","false","true","HubSpot","Automation platform flow (2); Object requirement (1); Sales view (1); Data highlights card (1); Properties v3 card (1)"
