"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages"
"Allow partial payments","hs_allow_partial_payments","bool","Allow your customer to pay less than the balance due","invoiceinformation","false","[{""label"":""Yes"",""value"":""true"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""No"",""value"":""false"",""displayOrder"":1,""hidden"":false,""readOnly"":false}]","false","true","false","false","false","true","HubSpot",""
"Allowed payment methods","hs_allowed_payment_methods","enumeration","The payment methods that can be used to pay the invoice.","invoiceinformation","false","[{""label"":""Credit or Debit Card"",""value"":""credit_or_debit_card"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""ACH"",""value"":""ach"",""displayOrder"":1,""hidden"":false,""readOnly"":false},{""label"":""SEPA"",""value"":""sepa"",""displayOrder"":2,""hidden"":false,""readOnly"":false},{""label"":""BACS"",""value"":""bacs"",""displayOrder"":3,""hidden"":false,""readOnly"":false},{""label"":""PADS"",""value"":""pads"",""displayOrder"":4,""hidden"":false,""readOnly"":false}]","false","true","false","false","false","true","HubSpot",""
"Amount billed","hs_amount_billed","number","The amount billed on the invoice","invoiceinformation","false","","false","true","false","false","false","true","HubSpot",""
"Amount paid","hs_amount_paid","number","The total value of non-failed payments associated to the invoice.","invoiceinformation","false","","true","true","true","false","false","true","HubSpot",""
"Amount processing","hs_amount_processing","number","The total value of processing payments associated to the invoice.","invoiceinformation","false","","true","true","false","false","false","true","HubSpot",""
"Balance due","hs_balance_due","number","The balance due for the invoice.","invoiceinformation","false","","true","true","false","false","false","true","HubSpot",""
"Comments","hs_comments","string","Comments to the Invoice recipient.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot",""
"Create Date","hs_createdate","datetime","The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.","invoiceinformation","false","","true","true","false","false","false","true","HubSpot",""
"Currency","hs_currency","string","The currency of the invoice","invoiceinformation","false","","false","true","false","false","false","true","HubSpot",""
"Discounts total","hs_discounts_total","number","The sum of all line item level discounts and invoice level discounts applied to the invoice.","invoiceinformation","false","","true","true","false","false","false","true","HubSpot",""
"Due date","hs_due_date","datetime","The due date for the current invoice.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot",""
"Invoice external create date/time","hs_external_createdate","datetime","The date and time at which the invoice was created in the 3rd party accounting application","invoiceinformation","false","","false","true","false","false","false","true","HubSpot",""
"External recipient","hs_external_recipient","string","The recipient of the current invoice.","invoiceinformation","false","","false","false","false","false","false","true","HubSpot",""
"Fees total","hs_fees_total","number","The sum of all fees applied to the invoice.","invoiceinformation","false","","true","true","false","false","false","true","HubSpot",""
"Invoice date","hs_invoice_date","datetime","Date of the Invoice.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot",""
"Latest company name","hs_invoice_latest_company_name","string","The latest name value among companies associated to this invoice","invoiceinformation","false","","true","true","false","false","false","true","HubSpot",""
"Latest contact email","hs_invoice_latest_contact_email","string","The latest email value among contacts associated to this invoice","invoiceinformation","false","","true","true","false","false","false","true","HubSpot",""
"Latest contact first name","hs_invoice_latest_contact_firstname","string","The latest first name value among contacts associated to this invoice","invoiceinformation","false","","true","true","false","false","false","true","HubSpot",""
"Latest contact last name","hs_invoice_latest_contact_lastname","string","The latest last name value among contacts associated to this invoice","invoiceinformation","false","","true","true","false","false","false","true","HubSpot",""
"Invoice link","hs_invoice_link","string","The invoice url link, based on the domain and slug.","invoiceinformation","false","","true","true","true","false","false","true","HubSpot",""
"Invoice source","hs_invoice_source","enumeration","Creation source of the Invoice.","invoiceinformation","false","[{""label"":""HubSpot"",""value"":""native_invoice"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""Data Sync"",""value"":""data_sync"",""displayOrder"":1,""hidden"":false,""readOnly"":false},{""label"":""Legacy QuickBooks Online"",""value"":""legacy_quickbooks_online"",""displayOrder"":2,""hidden"":false,""readOnly"":false}]","true","true","false","false","false","true","HubSpot",""
"Invoice status","hs_invoice_status","enumeration","The status of the Invoice. Invoice statuses allow you to categorize and track billing progress.","invoiceinformation","false","[{""label"":""Draft"",""value"":""draft"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""Open"",""value"":""open"",""displayOrder"":1,""hidden"":false,""readOnly"":false},{""label"":""Paid"",""value"":""paid"",""displayOrder"":2,""hidden"":false,""readOnly"":false},{""label"":""Voided"",""value"":""voided"",""displayOrder"":3,""hidden"":false,""readOnly"":false}]","false","true","false","false","false","true","HubSpot",""
"Invoice status details","hs_invoice_status_details","enumeration","Additional invoice status details.","invoiceinformation","false","[{""label"":""Partially Paid"",""value"":""partially_paid"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""Partially Refunded"",""value"":""partially_refunded"",""displayOrder"":1,""hidden"":false,""readOnly"":false},{""label"":""Refunded"",""value"":""refunded"",""displayOrder"":2,""hidden"":false,""readOnly"":false},{""label"":""Payment Processing"",""value"":""payment_processing"",""displayOrder"":3,""hidden"":false,""readOnly"":false}]","true","true","false","false","false","true","HubSpot",""
"Language","hs_language","string","Language of the Invoice.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot",""
"Last sent date","hs_last_sent_date","datetime","The last time the invoice was sent to the customer. This is updated automatically by HubSpot.","invoiceinformation","false","","true","true","false","false","false","true","HubSpot",""
"Locale","hs_locale","string","Locale of the Invoice.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot",""
"Merged record IDs","hs_merged_object_ids","enumeration","The list of record IDs that have been merged into this record. This value is automatically set by HubSpot and may not be modified.","invoiceinformation","false","","true","true","false","true","false","true","HubSpot",""
"Number","hs_number","string","The 3rd party number associated to this invoice","invoiceinformation","false","","false","true","false","false","false","true","HubSpot",""
"Object ID","hs_object_id","number","The unique ID for this object. This value is automatically set by HubSpot and may not be modified.","invoiceinformation","false","","true","true","false","false","false","true","HubSpot",""
"Record Source Detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created","invoiceinformation","false","","true","true","false","false","false","true","HubSpot",""
"Record Source Detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created","invoiceinformation","false","","true","true","false","false","false","true","HubSpot",""
"Record Source Detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created","invoiceinformation","false","","true","true","false","false","false","true","HubSpot",""
"Record Source","hs_object_source_label","enumeration","How this record was created","invoiceinformation","false","","true","true","false","true","false","true","HubSpot",""
"Payment date","hs_payment_date","datetime","The date when payment of an invoice has fully completed.","invoiceinformation","false","","true","true","false","false","false","true","HubSpot",""
"PDF download link","hs_pdf_download_link","string","The link to download the pdf of this Invoice.","invoiceinformation","false","","true","true","false","false","false","true","HubSpot",""
"PO number","hs_purchase_order_number","string","Purchase order number of the invoice","invoiceinformation","false","","false","true","false","false","false","true","HubSpot",""
