"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages"
"Business units","hs_all_assigned_business_unit_ids","enumeration","The business units this record is assigned to.","lead_information","false","","false","true","false","true","false","true","HubSpot",""
"Is Target Account","hs_company_is_target_account","string","Associated company's status about being marketed or sold to.","lead_information","false","","true","true","true","false","false","true","HubSpot",""
"Company Last Engagement Date","hs_company_last_engagement_timestamp","datetime","The last time a contact engaged with your site or a form, document, meetings link, or tracked email. This doesn't include marketing emails or emails to multiple contacts.","lead_information","false","","true","true","true","false","false","true","HubSpot",""
"Company Last Engagement Type","hs_company_last_engagement_type","enumeration","The type of the last engagement a company performed. This doesn't include marketing emails or emails to multiple contacts.","lead_information","false","[{""label"":""Company Website Visit"",""value"":""COMPANYPROSPECTS_REVISIT"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""Document View"",""value"":""PRESENTATION_REVISIT"",""displayOrder"":1,""hidden"":false,""readOnly"":false},{""label"":""Email Click"",""value"":""EMAIL_CLICK"",""displayOrder"":2,""hidden"":false,""readOnly"":false},{""label"":""Email Open"",""value"":""EMAIL_OPEN"",""displayOrder"":3,""hidden"":false,""readOnly"":false},{""label"":""Email Reply"",""value"":""EMAIL_REPLY"",""displayOrder"":4,""hidden"":false,""readOnly"":false},{""label"":""Form Submitted"",""value"":""FORM_SUBMITTED"",""displayOrder"":5,""hidden"":false,""readOnly"":false},{""label"":""Meeting Booked"",""value"":""MEETING_BOOKED"",""displayOrder"":6,""hidden"":false,""readOnly"":false},{""label"":""Website Visit"",""value"":""HUBSPOT_REVISIT"",""displayOrder"":7,""hidden"":false,""readOnly"":false}]","true","true","true","false","false","true","HubSpot",""
"Company Time of Last Session","hs_company_last_webpage_visit_timestamp","datetime","Time of the last session attributed to any contacts that are associated with this lead's primary company","lead_information","false","","true","true","true","false","false","true","HubSpot",""
"Company Next Activity Date","hs_company_next_activity_date","datetime","The date of the next activity, rolled up from the primary associated company.","lead_information","false","","true","true","false","false","false","true","HubSpot",""
"Company Next Activity Type","hs_company_next_activity_type","enumeration","The type of the next activity, rolled up from the primary associated company.","lead_information","false","[{""label"":""Call"",""value"":""CALL"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""Conversation session"",""value"":""CONVERSATION_SESSION"",""displayOrder"":1,""hidden"":false,""readOnly"":false},{""label"":""Email reply from contact"",""value"":""INCOMING_EMAIL"",""displayOrder"":2,""hidden"":false,""readOnly"":false},{""label"":""Email sent to contact"",""value"":""EMAIL"",""displayOrder"":3,""hidden"":false,""readOnly"":false},{""label"":""Forwarded email"",""value"":""FORWARDED_EMAIL"",""displayOrder"":4,""hidden"":false,""readOnly"":false},{""label"":""LinkedIn message"",""value"":""LINKEDIN_MESSAGE"",""displayOrder"":5,""hidden"":false,""readOnly"":false},{""label"":""Meeting"",""value"":""MEETING"",""displayOrder"":6,""hidden"":false,""readOnly"":false},{""label"":""Note"",""value"":""NOTE"",""displayOrder"":7,""hidden"":false,""readOnly"":false},{""label"":""Postal mail"",""value"":""POSTAL_MAIL"",""displayOrder"":8,""hidden"":false,""readOnly"":false},{""label"":""Publishing task"",""value"":""PUBLISHING_TASK"",""displayOrder"":9,""hidden"":false,""readOnly"":false},{""label"":""SMS"",""value"":""SMS"",""displayOrder"":10,""hidden"":false,""readOnly"":false},{""label"":""Task"",""value"":""TASK"",""displayOrder"":11,""hidden"":false,""readOnly"":false},{""label"":""WhatsApp"",""value"":""WHATS_APP"",""displayOrder"":12,""hidden"":false,""readOnly"":false}]","true","true","true","false","false","true","HubSpot",""
"Company Number of Pageviews","hs_company_num_webpage_views","number","Total number of page views across all contacts associated with this lead's primary company","lead_information","false","","true","true","true","false","false","true","HubSpot",""
"Associated company timezone","hs_company_timezone","string","The associated company's timezone, if present.","lead_information","false","","true","true","false","false","false","true","HubSpot",""
"Contact Buying Role","hs_contact_buying_role","string","Associated contact's role during the sales process.","lead_information","false","","true","true","true","false","false","true","HubSpot",""
"Associated contact job title","hs_contact_job_title","string","Job title of the associated contact if present.","lead_information","false","","true","false","false","false","false","true","HubSpot",""
"Contact Last Engagement Date","hs_contact_last_engagement_timestamp","datetime","The last time a contact engaged with your site or a form, document, meetings link, or tracked email. This doesn't include marketing emails or emails to multiple contacts.","lead_information","false","","true","true","true","false","false","true","HubSpot",""
"Contact Last Engagement Type","hs_contact_last_engagement_type","enumeration","The type of the last engagement a contact performed. This doesn't include marketing emails or emails to multiple contacts.","lead_information","false","[{""label"":""Company Website Visit"",""value"":""COMPANYPROSPECTS_REVISIT"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""Document View"",""value"":""PRESENTATION_REVISIT"",""displayOrder"":1,""hidden"":false,""readOnly"":false},{""label"":""Email Click"",""value"":""EMAIL_CLICK"",""displayOrder"":2,""hidden"":false,""readOnly"":false},{""label"":""Email Open"",""value"":""EMAIL_OPEN"",""displayOrder"":3,""hidden"":false,""readOnly"":false},{""label"":""Email Reply"",""value"":""EMAIL_REPLY"",""displayOrder"":4,""hidden"":false,""readOnly"":false},{""label"":""Form Submitted"",""value"":""FORM_SUBMITTED"",""displayOrder"":5,""hidden"":false,""readOnly"":false},{""label"":""Meeting Booked"",""value"":""MEETING_BOOKED"",""displayOrder"":6,""hidden"":false,""readOnly"":false},{""label"":""Website Visit"",""value"":""HUBSPOT_REVISIT"",""displayOrder"":7,""hidden"":false,""readOnly"":false}]","true","true","true","false","false","true","HubSpot",""
"Contact Time of Last Session","hs_contact_last_webpage_visit_timestamp","datetime","Timestamp for start of the most recent session for this lead's primary contact to your website.","lead_information","false","","true","true","true","false","false","true","HubSpot",""
"Contact Next Activity Date","hs_contact_next_activity_date","datetime","The date of the next activity, rolled up from the primary associated contact.","lead_information","false","","true","true","false","false","false","true","HubSpot",""
"Contact Next Activity Type","hs_contact_next_activity_type","enumeration","The type of the next activity, rolled up from the primary associated contact.","lead_information","false","[{""label"":""Call"",""value"":""CALL"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""Conversation session"",""value"":""CONVERSATION_SESSION"",""displayOrder"":1,""hidden"":false,""readOnly"":false},{""label"":""Email reply from contact"",""value"":""INCOMING_EMAIL"",""displayOrder"":2,""hidden"":false,""readOnly"":false},{""label"":""Email sent to contact"",""value"":""EMAIL"",""displayOrder"":3,""hidden"":false,""readOnly"":false},{""label"":""Forwarded email"",""value"":""FORWARDED_EMAIL"",""displayOrder"":4,""hidden"":false,""readOnly"":false},{""label"":""LinkedIn message"",""value"":""LINKEDIN_MESSAGE"",""displayOrder"":5,""hidden"":false,""readOnly"":false},{""label"":""Meeting"",""value"":""MEETING"",""displayOrder"":6,""hidden"":false,""readOnly"":false},{""label"":""Note"",""value"":""NOTE"",""displayOrder"":7,""hidden"":false,""readOnly"":false},{""label"":""Postal mail"",""value"":""POSTAL_MAIL"",""displayOrder"":8,""hidden"":false,""readOnly"":false},{""label"":""Publishing task"",""value"":""PUBLISHING_TASK"",""displayOrder"":9,""hidden"":false,""readOnly"":false},{""label"":""SMS"",""value"":""SMS"",""displayOrder"":10,""hidden"":false,""readOnly"":false},{""label"":""Task"",""value"":""TASK"",""displayOrder"":11,""hidden"":false,""readOnly"":false},{""label"":""WhatsApp"",""value"":""WHATS_APP"",""displayOrder"":12,""hidden"":false,""readOnly"":false}]","true","true","true","false","false","true","HubSpot",""
"Contact Number of Pageviews","hs_contact_num_webpage_views","number","Total number of page views this lead's primary contact has had on your website","lead_information","false","","true","true","true","false","false","true","HubSpot",""
"Associated contact timezone","hs_contact_timezone","string","The associated contact's timezone, if present.","lead_information","false","","true","true","false","false","false","true","HubSpot",""
"Created by user ID","hs_created_by_user_id","number","The user that created this object. This value is automatically set by HubSpot and may not be modified.","lead_information","false","","true","true","false","false","false","true","HubSpot",""
"Object create date/time","hs_createdate","datetime","The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.","lead_information","false","","true","true","false","false","false","true","HubSpot",""
"Last Activity Date","hs_last_activity_date","datetime","The date of the last activity. Defaults to the date of the primary associated contact. If not present, looks to the date of the primary associated company.","lead_information","false","","true","true","true","false","false","true","HubSpot",""
"Last Engagement Date","hs_last_engagement_timestamp","datetime","If primary contact exists, the last time the contact engaged with your site or a form, document, meetings link, or tracked email. This doesn't include marketing emails or emails to multiple contacts. Otherwise it is the last time for the associated company","lead_information","false","","true","true","true","false","false","true","HubSpot",""
"Last Engagement Type","hs_last_engagement_type","enumeration","If primary contact exists, the type of the last engagement the contact performed. This doesn't include marketing emails or emails to multiple contacts. Otherwise it is the type of the last engagement for the associated company","lead_information","false","","true","true","true","false","false","true","HubSpot",""
"Lead Time of Last Session","hs_last_webpage_visit_timestamp","datetime","If the associated contact exists, the timestamp for the start of the most recent session for this contact to your website. Otherwise the timestamp for the start of the most recent session for the associated company to your website.","lead_information","false","","true","true","true","false","false","true","HubSpot",""
"Object last modified date/time","hs_lastmodifieddate","datetime","Most recent timestamp of any property update for this object. This includes HubSpot internal properties, which can be visible or hidden. This property is updated automatically.","lead_information","false","","true","true","false","false","false","true","HubSpot",""
"Associated Deal Pipeline Stage","hs_lead_associated_deal_pipeline_stage","enumeration","The pipeline stage of the primary associated deal","lead_information","false","","true","true","false","true","false","true","HubSpot",""
"Associated deals","hs_lead_associated_deals_count","number","Number of associated deals for a given lead.","lead_information","false","","true","false","false","false","false","true","HubSpot",""
"Call Count","hs_lead_call_count","number","The number of calls made to this lead","lead_information","false","","true","true","true","false","false","true","HubSpot",""
"Closed won deal amount","hs_lead_closed_won_deals_amount","number","The total amount of the lead's associated deals that are closed-won","lead_information","false","","true","true","false","false","false","true","HubSpot",""
"Message Thread Count","hs_lead_communication_count","number","The number of message threads (SMS, LinkedIn, WhatsApp) opened with this lead","lead_information","false","","true","true","true","false","false","true","HubSpot",""
"Lead Disqualification Note","hs_lead_disqualification_note","string","A note on why the lead was disqualified ","lead_information","false","","false","true","false","false","false","true","HubSpot","Controlling pipeline stage field (1)"
"Disqualification Reason","hs_lead_disqualification_reason","enumeration","Dropdown list of reasons for disqualification","lead_information","false","[{""label"":""Bad Timing"",""value"":""BAD_TIMING"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""Budget Constraints"",""value"":""BUDGET_CONSTRAINTS"",""displayOrder"":1,""hidden"":false,""readOnly"":false},{""label"":""No Decision-making Power"",""value"":""NO_DECISION_MAKING_POWER"",""displayOrder"":2,""hidden"":false,""readOnly"":false},{""label"":""Competitor Preference"",""value"":""COMPETITOR_PREFERENCE"",""displayOrder"":3,""hidden"":false,""readOnly"":false},{""label"":""Not a Good Fit"",""value"":""NOT_A_GOOD_FIT"",""displayOrder"":4,""hidden"":false,""readOnly"":false},{""label"":""No Interest"",""value"":""NO_INTEREST"",""displayOrder"":5,""hidden"":false,""readOnly"":false},{""label"":""Prior Negative Experience"",""value"":""PRIOR_NEGATIVE_EXPERIENCE"",""displayOrder"":6,""hidden"":false,""readOnly"":false},{""label"":""Technical Limitations"",""value"":""TECHNICAL_LIMITATIONS"",""displayOrder"":7,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","true","HubSpot","Controlling pipeline stage field (1)"
"Email Count","hs_lead_email_count","number","The number of emails sent to this lead","lead_information","false","","true","true","true","false","false","true","HubSpot",""
"First Outreach Date","hs_lead_first_outreach_date","datetime","The date of the first outreach (call, email, meeting or other communication) from the sales rep to the lead.","lead_information","false","","true","true","true","false","false","true","HubSpot",""
"Lead flow id","hs_lead_flow_id","number","Flow id of the workflow that created this lead","lead_information","false","","true","true","false","false","false","true","HubSpot",""
"Open leads","hs_lead_is_open","number","Whether the lead's pipeline stage has any category other than `QUALIFIED` or `UNQUALIFIED`","lead_information","false","","true","true","false","false","false","true","HubSpot",""
"Lead Label","hs_lead_label","enumeration","Current status of a given lead","lead_information","false","[{""label"":""Hot"",""value"":""HOT"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""Warm"",""value"":""WARM"",""displayOrder"":1,""hidden"":false,""readOnly"":false},{""label"":""Cold"",""value"":""COLD"",""displayOrder"":2,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","true","HubSpot",""
"Meeting Count","hs_lead_meeting_count","number","The number of meetings booked with this lead","lead_information","false","","true","true","true","false","false","true","HubSpot",""
"Lead Name","hs_lead_name","string","The full name of the lead.","lead_information","false","","false","true","false","false","false","true","HubSpot",""
"Outreach activity count","hs_lead_outreach_activity_count","number","The total number of outreach activities (call, email, meeting or other communication) from the sales rep to the lead.","lead_information","false","","true","true","true","false","false","true","HubSpot",""
"Open deal amount","hs_lead_pipeline_value","number","The total value of any open deals associated with this lead","lead_information","false","","true","true","false","false","false","true","HubSpot",""
