"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages"
"AppId","hs_app_id","number","The appId that is associated with this marketing event. This value is automatically set by HubSpot and may not be modified.","marketingeventinformation","false","","true","true","false","false","false","true","HubSpot",""
"Attendees","hs_attendees","number","The number of people who attended this marketing event","marketingeventinformation","false","","true","false","false","false","false","true","HubSpot",""
"Cancellations","hs_cancellations","number","The number of cancellations for this marketing event","marketingeventinformation","false","","true","false","false","false","false","true","HubSpot",""
"Created by user ID","hs_created_by_user_id","number","The user that created this object. This value is automatically set by HubSpot and may not be modified.","marketingeventinformation","false","","true","true","false","false","false","true","HubSpot",""
"Object create date/time","hs_createdate","datetime","The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.","marketingeventinformation","false","","true","true","false","false","false","true","HubSpot",""
"End date","hs_end_datetime","datetime","The end date and time of the marketing event.","marketingeventinformation","false","","false","false","false","false","false","true","HubSpot",""
"Cancelled","hs_event_cancelled","bool","Indicates if the marketing event has been cancelled.","marketingeventinformation","false","[{""label"":""True"",""value"":""true"",""displayOrder"":0,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""False"",""value"":""false"",""displayOrder"":1,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false}]","false","false","false","false","false","true","HubSpot",""
"Description","hs_event_description","string","The description of the marketing event","marketingeventinformation","false","","false","false","false","false","false","true","HubSpot",""
"Event Finished","hs_event_finished","enumeration","Indicates if the marketing event has been finished.","marketingeventinformation","false","[{""label"":""Yes"",""value"":""true"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""No"",""value"":""false"",""displayOrder"":1,""hidden"":false,""readOnly"":false}]","true","false","false","false","false","true","HubSpot",""
"Name","hs_event_name","string","The name of the event","marketingeventinformation","false","","false","false","false","false","false","true","HubSpot",""
"Organizer","hs_event_organizer","string","The marketing event organizer","marketingeventinformation","false","","false","false","false","false","false","true","HubSpot",""
"Type","hs_event_type","string","The type of marketing event","marketingeventinformation","false","","false","false","false","false","false","true","HubSpot",""
"Url","hs_event_url","string","The url to the marketing event","marketingeventinformation","false","","true","false","false","false","false","true","HubSpot",""
"Import status","hs_import_status","enumeration","Stores last import status associated with MarketingEvent","marketingeventinformation","false","[{""label"":""In progress"",""value"":""in_progress"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""Complete"",""value"":""complete"",""displayOrder"":1,""hidden"":false,""readOnly"":false},{""label"":""Import failed"",""value"":""import_failed"",""displayOrder"":2,""hidden"":false,""readOnly"":false},{""label"":""Import reverted"",""value"":""import_reverted"",""displayOrder"":3,""hidden"":false,""readOnly"":false}]","true","true","false","false","false","true","HubSpot",""
"Object last modified date/time","hs_lastmodifieddate","datetime","Most recent timestamp of any property update for this object. This includes HubSpot internal properties, which can be visible or hidden. This property is updated automatically.","marketingeventinformation","false","","true","true","false","false","false","true","HubSpot",""
"Merged record IDs","hs_merged_object_ids","enumeration","The list of record IDs that have been merged into this record. This value is automatically set by HubSpot and may not be modified.","marketingeventinformation","false","","true","true","false","true","false","true","HubSpot",""
"No shows","hs_noshows","number","The number of people who registered for this marketing event but did not attend nor cancel","marketingeventinformation","false","","true","true","true","false","false","true","HubSpot",""
"Record ID","hs_object_id","number","The unique ID for this record. This value is automatically set by HubSpot and may not be modified.","marketingeventinformation","false","","true","true","false","false","false","true","HubSpot",""
"Record Source Detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created","marketingeventinformation","false","","true","true","false","false","false","true","HubSpot",""
"Record Source Detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created","marketingeventinformation","false","","true","true","false","false","false","true","HubSpot",""
"Record Source Detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created","marketingeventinformation","false","","true","true","false","false","false","true","HubSpot",""
"Record Source","hs_object_source_label","enumeration","How this record was created","marketingeventinformation","false","","true","true","false","true","false","true","HubSpot",""
"Registrations","hs_registrations","number","The current number of registrations for this marketing event","marketingeventinformation","false","","true","false","false","false","false","true","HubSpot",""
"Start date","hs_start_datetime","datetime","The start date and time of the marketing event.","marketingeventinformation","false","","false","false","false","false","false","true","HubSpot",""
"Updated by user ID","hs_updated_by_user_id","number","The user that last updated this object. This value is automatically set by HubSpot and may not be modified.","marketingeventinformation","false","","true","true","false","false","false","true","HubSpot",""
"Owner Assigned Date","hubspot_owner_assigneddate","datetime","The most recent date an owner was assigned to this object. This is set automatically by HubSpot and can be used for segmentation and reporting.","marketingeventinformation","false","","true","true","false","false","false","true","HubSpot",""
"Owner","hubspot_owner_id","enumeration","The owner of the object.","marketingeventinformation","false","","false","true","false","true","false","true","HubSpot",""
"HubSpot Team","hubspot_team_id","enumeration","The primary team of the owner.","marketingeventinformation","false","","true","true","false","true","false","true","HubSpot",""
