"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages"
"List ID","hs_classic_list_id","number","The list ID is used when referencing lists in any third-party integrations, or when using the Lists API","objectlistinformation","false","","true","true","false","false","false","true","HubSpot",""
"Created by user ID","hs_created_by_user_id","number","The user that created this object. This value is automatically set by HubSpot and may not be modified.","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","Sales view (6)"
"Object create date/time","hs_createdate","datetime","The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","Sales view (1)"
"Description","hs_description","string","","objectlistinformation","false","","false","true","false","false","false","true","HubSpot",""
"Read only","hs_is_read_only","enumeration","Shows if this list is able to be edited or deleted","objectlistinformation","false","[{""label"":""Yes"",""value"":""true"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""No"",""value"":""false"",""displayOrder"":1,""hidden"":false,""readOnly"":false}]","true","false","false","false","false","true","HubSpot",""
"Last record added at","hs_last_record_added_at","datetime","The date and time when the last record joined the list","objectlistinformation","false","","true","false","false","false","false","true","HubSpot",""
"Last record removed at","hs_last_record_removed_at","datetime","The date and time when the last record left the list","objectlistinformation","false","","true","false","false","false","false","true","HubSpot",""
"Object last modified date/time","hs_lastmodifieddate","datetime","Most recent timestamp of any property update for this object. This includes HubSpot internal properties, which can be visible or hidden. This property is updated automatically.","objectlistinformation","false","","true","true","false","false","false","true","HubSpot",""
"ILS List ID","hs_list_id","number","The list ID referenced when using the Exports API","objectlistinformation","false","","true","true","false","false","false","true","HubSpot",""
"Notifications","hs_list_notifications","enumeration","Enumeration of notifications enabled for list","objectlistinformation","false","[{""label"":""Edited or deleted"",""value"":""list_definition_updated"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""Count reached"",""value"":""list_size_reaches_count"",""displayOrder"":1,""hidden"":false,""readOnly"":false},{""label"":""Size anomaly detected"",""value"":""list_size_change_anomaly_detected"",""displayOrder"":2,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","true","HubSpot",""
"List Size","hs_list_size","number","","objectlistinformation","false","","true","false","false","false","false","true","HubSpot","Sales view (6)"
"7-Day Change","hs_list_size_week_delta","number","How the count of the list has changed in the last 7 days","objectlistinformation","false","","true","false","false","false","false","true","HubSpot",""
"List Version","hs_list_version","number","The current version of the list","objectlistinformation","false","","true","true","false","false","false","true","HubSpot",""
"Merged record IDs","hs_merged_object_ids","enumeration","The list of record IDs that have been merged into this record. This value is automatically set by HubSpot and may not be modified.","objectlistinformation","false","","true","true","false","true","false","true","HubSpot",""
"Record ID","hs_object_id","number","The unique ID for this record. This value is automatically set by HubSpot and may not be modified.","objectlistinformation","false","","true","true","false","false","false","true","HubSpot",""
"Record Source Detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created","objectlistinformation","false","","true","true","false","false","false","true","HubSpot",""
"Record Source Detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created","objectlistinformation","false","","true","true","false","false","false","true","HubSpot",""
"Record Source Detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created","objectlistinformation","false","","true","true","false","false","false","true","HubSpot",""
"Record Source","hs_object_source_label","enumeration","How this record was created","objectlistinformation","false","","true","true","false","true","false","true","HubSpot",""
"Object Type","hs_object_type_id","string","The object type id of the objects in the list","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","Sales view (6)"
"Updated by user ID","hs_updated_by_user_id","number","The user that last updated this object. This value is automatically set by HubSpot and may not be modified.","objectlistinformation","false","","true","true","false","false","false","true","HubSpot",""
"Owner Assigned Date","hubspot_owner_assigneddate","datetime","The most recent date an owner was assigned to this object. This is set automatically by HubSpot and can be used for segmentation and reporting.","objectlistinformation","false","","true","true","false","false","false","true","HubSpot",""
"Owner","hubspot_owner_id","enumeration","The owner of the object.","objectlistinformation","false","","false","true","false","true","false","true","HubSpot",""
"HubSpot Team","hubspot_team_id","enumeration","The primary team of the owner.","objectlistinformation","false","","true","true","false","true","false","true","HubSpot",""
