"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages"
"Billing City","hs_billing_address_city","string","The city for the billing address.","order_information","false","","false","true","false","false","false","true","HubSpot",""
"Billing Country","hs_billing_address_country","string","The country for the billing address.","order_information","false","","false","true","false","false","false","true","HubSpot",""
"Billing Email","hs_billing_address_email","string","Customer's email from billing information","order_information","false","","false","true","false","false","false","true","HubSpot",""
"Billing First Name","hs_billing_address_firstname","string","Customer's first name from billing information","order_information","false","","false","true","false","false","false","true","HubSpot",""
"Billing Last Name","hs_billing_address_lastname","string","Customer's last name from billing information","order_information","false","","false","true","false","false","false","true","HubSpot",""
"Billing Address Customer Name","hs_billing_address_name","string","Customer's full name from billing information","order_information","false","","false","true","false","false","false","true","HubSpot",""
"Billing Phone Number","hs_billing_address_phone","string","The phone number for the billing address.","order_information","false","","false","true","false","false","false","true","HubSpot",""
"Billing ZIP/Postal Code","hs_billing_address_postal_code","string","The ZIP/postal code for the billing address.","order_information","false","","false","true","false","false","false","true","HubSpot",""
"Billing State","hs_billing_address_state","string","The state for the billing address.","order_information","false","","false","true","false","false","false","true","HubSpot",""
"Billing Street","hs_billing_address_street","string","The street for the billing address.","order_information","false","","false","true","false","false","false","true","HubSpot",""
"Buyer Accepts Marketing","hs_buyer_accepts_marketing","bool","Indicates if the customer has opted in/out of receiving marketing emails.","order_information","false","[{""label"":""True"",""value"":""true"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""False"",""value"":""false"",""displayOrder"":1,""hidden"":false,""readOnly"":false}]","false","true","false","false","false","true","HubSpot",""
"Cancellation Reason","hs_cancellation_reason","string","The reason given for cancelling the order.","order_information","false","","false","true","false","false","false","true","HubSpot",""
"Created by user ID","hs_created_by_user_id","number","The user that created this object. This value is automatically set by HubSpot and may not be modified.","order_information","false","","true","true","false","false","false","true","HubSpot",""
"Object create date/time","hs_createdate","datetime","The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.","order_information","false","","true","true","false","false","false","true","HubSpot",""
"Customer Phone","hs_customer_phone","phone_number","Phone number of Customer placing the Order","order_information","false","","false","true","false","false","false","true","HubSpot",""
"Exchange rate","hs_exchange_rate","number","This is the exchange rate used to convert the cart amount into your company currency.","order_information","false","","false","true","false","false","false","true","HubSpot",""
"Canceled Date","hs_external_canceled_date","datetime","Date the order is canceled.","order_information","false","","false","true","false","false","false","true","HubSpot",""
"Cart ID","hs_external_cart_id","string","Unique identifier in an external system for the cart associated with the order.","order_information","false","","false","true","false","false","false","true","HubSpot",""
"Checkout ID","hs_external_checkout_id","string","Unique identifier in an external system for the checkout associated with the order.","order_information","false","","false","true","false","false","false","true","HubSpot",""
"Created Date","hs_external_created_date","datetime","Date the order is created.","order_information","false","","false","true","false","false","false","true","HubSpot",""
"Modified Date","hs_external_modified_date","datetime","Most recent order modified date.","order_information","false","","false","true","false","false","false","true","HubSpot",""
"Order ID","hs_external_order_id","string","Unique identifier in an external system for the order.","order_information","false","","false","true","false","false","false","true","HubSpot",""
"Status","hs_external_order_status","string","Current status of the order as recorded on the source system. ","order_information","false","","false","true","false","false","false","true","HubSpot",""
