"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages"
"Plan Activation Date","activated_at","date","","plans_information","false","","false","false","false","false","false","false","Brandon Dith-Berry","Automation platform flow (1); Object requirement (1); Report (3); Association table card (1); Properties v3 card (1)"
"Billing Frequency","billing_frequency","string","","plans_information","false","","false","false","false","false","false","false","Brandon Dith-Berry","Automation platform flow (3); Report (7); Pipeline board view (1); Sales view (4); Association table card (1); Properties v3 card (1)"
"Billing period","billing_period","number","","plans_information","false","","false","false","false","false","false","false","Brandon Dith-Berry","Automation platform flow (1); Object requirement (1)"
"Billing period unit","billing_period_unit","enumeration","","plans_information","false","[{""label"":""month"",""value"":""month"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""year"",""value"":""year"",""displayOrder"":1,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","false","Brandon Dith-Berry","Automation platform flow (1); Object requirement (1); Data highlights card (1)"
"Plan Cancelled Date","cancelled_at","date","","plans_information","false","","false","false","false","false","false","false","Brandon Dith-Berry","Report (3); Properties v3 card (1)"
"Plan created at","created_at","date","","plans_information","false","","false","false","false","false","false","false","Brandon Dith-Berry","Sales view (4); Properties v3 card (1)"
"Current term end","current_term_end","date","","plans_information","false","","false","false","false","false","false","false","Brandon Dith-Berry","Object requirement (1); Sales view (4); Association table card (1); Properties v3 card (1)"
"Current term start","current_term_start","date","","plans_information","false","","false","false","false","false","false","false","Brandon Dith-Berry","Object requirement (1); Pipeline board view (1); Sales view (4); Association table card (1); Properties v3 card (1)"
"Deleted","deleted","enumeration","","plans_information","false","[{""label"":""Yes"",""value"":""true"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""No"",""value"":""false"",""displayOrder"":1,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","false","Brandon Dith-Berry",""
"Due invoices count","due_invoices_count","number","","plans_information","true","","false","false","false","false","false","false","Brandon Dith-Berry","Properties v3 card (1)"
"Has Scheduled Advance Invoices","has_scheduled_advance_invoices","enumeration","","plans_information","false","[{""label"":""Yes"",""value"":""true"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""No"",""value"":""false"",""displayOrder"":1,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","false","Brandon Dith-Berry",""
"Plan Has Scheduled Changes","has_scheduled_changes","enumeration","","plans_information","false","[{""label"":""Yes"",""value"":""true"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""No"",""value"":""false"",""displayOrder"":1,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","false","Brandon Dith-Berry",""
"Created by user ID","hs_created_by_user_id","number","The user that created this object. This value is automatically set by HubSpot and may not be modified.","plans_information","false","","true","true","false","false","false","true","HubSpot",""
"Object create date/time","hs_createdate","datetime","The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.","plans_information","false","","true","true","false","false","false","true","HubSpot","Properties v3 card (1)"
"Object last modified date/time","hs_lastmodifieddate","datetime","Most recent timestamp of any property update for this object. This includes HubSpot internal properties, which can be visible or hidden. This property is updated automatically.","plans_information","false","","true","true","false","false","false","true","HubSpot","Sales view (3); Properties v3 card (1)"
"Merged record IDs","hs_merged_object_ids","enumeration","The list of record IDs that have been merged into this record. This value is automatically set by HubSpot and may not be modified.","plans_information","false","","true","true","false","true","false","true","HubSpot",""
