"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages"
"Unit cost","hs_cost_of_goods_sold","number","The amount that sold goods cost the HubSpot customer","price","false","","false","true","false","false","false","true","HubSpot",""
"Unit price","price","number","Cost of product","price","false","","false","true","false","false","false","true","HubSpot",""
"Billing frequency","recurringbillingfrequency","enumeration","How often a product with recurring billing is billed. It informs the pricing calculation for deals and quotes. Products with one-time billing aren’t included.","price","false","[{""label"":""Monthly"",""value"":""monthly"",""displayOrder"":0,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Quarterly"",""value"":""quarterly"",""displayOrder"":1,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Semi-annually"",""value"":""per_six_months"",""displayOrder"":2,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Annually"",""value"":""annually"",""displayOrder"":3,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Every two years"",""value"":""per_two_years"",""displayOrder"":4,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Every three years"",""value"":""per_three_years"",""displayOrder"":5,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Every four years"",""value"":""per_four_years"",""displayOrder"":6,""hidden"":false,""readOnly"":false},{""label"":""Every five years"",""value"":""per_five_years"",""displayOrder"":7,""hidden"":false,""readOnly"":false}]","false","true","false","false","false","true","HubSpot",""
"Create Date","createdate","datetime","The date the product was created","productinformation","false","","false","true","false","false","false","true","HubSpot",""
"Product description","description","string","Full description of product","productinformation","false","","false","true","false","false","false","true","HubSpot",""
"Created by user ID","hs_created_by_user_id","number","The user that created this object. This value is automatically set by HubSpot and may not be modified.","productinformation","false","","true","true","false","false","false","true","HubSpot",""
"Object create date/time","hs_createdate","datetime","The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.","productinformation","false","","true","true","false","false","false","true","HubSpot",""
"Folder","hs_folder","enumeration","The folder containing this product","productinformation","false","[{""label"":""Add-Ons: One-Time Fees, Recurring, Non-Recurring"",""value"":""Add-Ons: One-Time Fees, Recurring, Non-Recurring (auto_generated_33b6616a-194d-4ed5-b45d-906dbc692eb6)"",""displayOrder"":1},{""label"":""Bookkeeping Plans - NetSuite"",""value"":""Bookkeeping Plans - NetSuite (auto_generated_ed7aebd6-d465-43f7-8866-1a092349f91e)"",""displayOrder"":2},{""label"":""Bookkeeping Plans: Enterprise"",""value"":""Bookkeeping Plans: Enterprise (auto_generated_2c4d49ba-9b13-4ffe-a3e5-46b4df71c85d)"",""displayOrder"":3},{""label"":""Bookkeeping Plans: Growth"",""value"":""Bookkeeping Plans: Growth (auto_generated_bb95d293-9ea8-44fc-a222-226577f70616)"",""displayOrder"":4},{""label"":""Bookkeeping Plans: Plus, Professional [LEGACY]"",""value"":""Bookkeeping Plans: Plus, Professional [LEGACY] (auto_generated_56a9cf1e-eb83-4d87-bc44-e6215e4fc709)"",""displayOrder"":5},{""label"":""Bookkeeping Plans: Starter"",""value"":""Bookkeeping Plans: Starter (auto_generated_d2ea1740-3541-4156-88a6-0051749603a7)"",""displayOrder"":6},{""label"":""CFO Services"",""value"":""CFO Services (auto_generated_e184f90f-e2c6-42d6-bb0d-93ccb8e756a7)"",""displayOrder"":7},{""label"":""Chargebee Add-ons - Auto sync"",""value"":""Chargebee Add-ons - Auto sync (auto_generated_ca628fb6-150c-4866-a231-71fc9b4a4735)"",""displayOrder"":8},{""label"":""Chargebee Plans - Auto sync"",""value"":""Chargebee Plans - Auto sync (auto_generated_0fedcb7b-653e-4452-9340-00308d87f774)"",""displayOrder"":9},{""label"":""Promotions"",""value"":""Promotions (auto_generated_ccfb1393-0d24-4808-b079-92527e42f132)"",""displayOrder"":10},{""label"":""Services: Accounts Payable"",""value"":""Services: Accounts Payable (auto_generated_f82deab9-9ac9-4bf3-a3d4-67aa7c961382)"",""displayOrder"":11},{""label"":""Services: CFO [LEGACY]"",""value"":""Services: CFO [LEGACY] (auto_generated_940b8a84-0a22-48d4-b578-0fe458153a6d)"",""displayOrder"":12},{""label"":""Services: Payroll Management"",""value"":""Services: Payroll Management (auto_generated_0c22595b-b226-4d9a-b4d5-bf2db0285a5f)"",""displayOrder"":13},{""label"":""Services: Tax"",""value"":""Services: Tax (auto_generated_a14fad65-1e9d-42e9-b449-9e2c0f186f9a)"",""displayOrder"":14},{""label"":""Zeni Accounts"",""value"":""Zeni Accounts (auto_generated_a619e514-1b15-4151-a1f0-870563eb30a1)"",""displayOrder"":15}]","false","true","false","false","false","true","HubSpot",""
"Folder (Legacy property - see description in property settings for details on replacement)","hs_folder_name","string","Name of the folder containing this product. This property is being upgraded to a new ""Folder"" dropdown select property. This will allow you to filter your index page on folders through a dropdown rather than text search. If you are using this property, switch to the new one.","productinformation","false","","false","true","false","false","false","true","HubSpot",""
"Image Url","hs_images","string","Product images.","productinformation","false","","false","true","false","false","false","true","HubSpot",""
