"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages"
"Created by user ID","hs_created_by_user_id","number","The user that created this object. This value is automatically set by HubSpot and may not be modified.","referrals_information","false","","true","true","false","false","false","true","HubSpot",""
"Object create date/time","hs_createdate","datetime","The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.","referrals_information","false","","true","true","false","false","false","true","HubSpot","Sales view (1)"
"Object last modified date/time","hs_lastmodifieddate","datetime","Most recent timestamp of any property update for this object. This includes HubSpot internal properties, which can be visible or hidden. This property is updated automatically.","referrals_information","false","","true","true","false","false","false","true","HubSpot",""
"Merged record IDs","hs_merged_object_ids","enumeration","The list of record IDs that have been merged into this record. This value is automatically set by HubSpot and may not be modified.","referrals_information","false","","true","true","false","true","false","true","HubSpot",""
"Record ID","hs_object_id","number","The unique ID for this record. This value is automatically set by HubSpot and may not be modified.","referrals_information","false","","true","true","false","false","false","true","HubSpot","Rollup property (1); Automation platform flow (4)"
"Record Source Detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created","referrals_information","false","","true","true","false","false","false","true","HubSpot",""
"Record Source Detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created","referrals_information","false","","true","true","false","false","false","true","HubSpot",""
"Record Source Detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created","referrals_information","false","","true","true","false","false","false","true","HubSpot",""
"Record Source","hs_object_source_label","enumeration","How this record was created","referrals_information","false","","true","true","false","true","false","true","HubSpot",""
"Updated by user ID","hs_updated_by_user_id","number","The user that last updated this object. This value is automatically set by HubSpot and may not be modified.","referrals_information","false","","true","true","false","false","false","true","HubSpot",""
"Owner Assigned Date","hubspot_owner_assigneddate","datetime","The most recent date an owner was assigned to this object. This is set automatically by HubSpot and can be used for segmentation and reporting.","referrals_information","false","","true","true","false","false","false","true","HubSpot",""
"Owner","hubspot_owner_id","enumeration","The owner of the object.","referrals_information","false","","false","true","false","true","false","true","HubSpot",""
"HubSpot Team","hubspot_team_id","enumeration","The primary team of the owner.","referrals_information","false","","true","true","false","true","false","true","HubSpot",""
"Referee Company","referee_company","string","","referrals_information","true","","false","false","false","false","false","false","Brandon Dith-Berry","Automation platform flow (1); Association card (1); Sales view (1); Properties v3 card (1); Association v3 card (1)"
"Referee Email","referee_email","string","","referrals_information","true","","false","false","false","false","false","false","Brandon Dith-Berry","Automation platform flow (1); Sales view (1); Properties v3 card (1)"
"Referee First Name","referee_first_name","string","","referrals_information","true","","false","false","false","false","false","false","Brandon Dith-Berry","Automation platform flow (1); Sales view (1); Properties v3 card (1)"
"Referee Last Name","referee_last_name","string","","referrals_information","true","","false","false","false","false","false","false","Brandon Dith-Berry","Automation platform flow (1); Sales view (1); Properties v3 card (1)"
"Referral","referral","string","","referrals_information","false","","false","false","false","false","false","false","Brandon Dith-Berry","Automation platform flow (1); Object requirement (1); Sales view (1)"
"Referred Company","referred_company","string","","referrals_information","true","","false","false","false","false","false","false","Brandon Dith-Berry","Automation platform flow (2); Properties v3 card (1)"
"Referred Email","referred_email","string","","referrals_information","true","","false","false","false","false","false","false","Brandon Dith-Berry","Automation platform flow (1); Sales view (1); Properties v3 card (1)"
"Status","status","enumeration","","referrals_information","true","[{""label"":""Invite Sent"",""value"":""Invite Sent"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""Demo Scheduled"",""value"":""Demo Scheduled"",""displayOrder"":1,""hidden"":false,""readOnly"":false},{""label"":""Evaluating"",""value"":""Evaluating"",""displayOrder"":2,""hidden"":false,""readOnly"":false},{""label"":""Onboarding"",""value"":""Onboarding"",""displayOrder"":3,""hidden"":false,""readOnly"":false},{""label"":""Active"",""value"":""Active"",""displayOrder"":4,""hidden"":false,""readOnly"":false},{""label"":""Reward Sent"",""value"":""Reward Sent"",""displayOrder"":5,""hidden"":false,""readOnly"":false},{""label"":""Opted Out"",""value"":""Opted Out"",""displayOrder"":6,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","false","Brandon Dith-Berry","Automation platform flow (7); Association card (1); Sales view (1); Properties v3 card (1); Association v3 card (1)"
