"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages"
"First agent email response date","first_agent_reply_date","datetime","The date of the first email response from an agent after a ticket was created","archive_[2024_cleanup]","false","","true","true","false","false","false","true","HubSpot",""
"Last message from visitor","hs_last_message_from_visitor","bool","Whether the last message came from visitor","archive_[2024_cleanup]","false","[{""label"":""True"",""value"":""true"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""False"",""value"":""false"",""displayOrder"":1,""hidden"":false,""readOnly"":false}]","true","true","false","false","false","true","HubSpot",""
"Last message received date","hs_last_message_received_at","datetime","The date of the last response from the visitor","archive_[2024_cleanup]","false","","true","true","true","false","false","true","HubSpot","Calculated property (1)"
"Last response date","hs_last_message_sent_at","datetime","The date of the last response from an agent or bot","archive_[2024_cleanup]","false","","true","true","true","false","false","true","HubSpot","Calculated property (1)"
"Last modified date","hs_lastmodifieddate","datetime","Most recent timestamp of any property update for this ticket. This includes HubSpot internal properties, which can be visible or hidden. This property is updated automatically.","archive_[2024_cleanup]","false","","true","true","false","false","false","true","HubSpot",""
"Merged Ticket IDs","hs_merged_object_ids","enumeration","The list of Ticket record IDs that have been merged into this Ticket. This value is automatically set by HubSpot and may not be modified.","archive_[2024_cleanup]","false","","true","true","false","false","false","true","HubSpot",""
"Number of times contacted","hs_num_times_contacted","number","The number of times a call, email, or meeting was logged on the ticket","archive_[2024_cleanup]","false","","true","true","false","false","false","true","HubSpot",""
"Originating channel account","hs_originating_channel_instance_id","enumeration","First channel account used when conversation was started","archive_[2024_cleanup]","false","","true","true","true","true","false","true","HubSpot",""
"Originating channel type","hs_originating_generic_channel_id","enumeration","The channel the conversation is in","archive_[2024_cleanup]","false","","true","true","true","true","false","true","HubSpot",""
"Ticket Tags","hs_tag_ids","enumeration","List of tag ids applicable to a ticket. This property is set automatically by HubSpot.","archive_[2024_cleanup]","false","","true","true","false","true","false","true","HubSpot",""
"Z Group","client_type","enumeration","","company_properties","true","[{""label"":""Z1"",""value"":""Z1"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""Z2"",""value"":""Z2"",""displayOrder"":1,""hidden"":false,""readOnly"":false},{""label"":""Z3"",""value"":""Z3"",""displayOrder"":2,""hidden"":false,""readOnly"":false},{""label"":""Z4"",""value"":""Z4"",""displayOrder"":3,""hidden"":false,""readOnly"":false},{""label"":""Z5"",""value"":""Z5"",""displayOrder"":4,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","false","Kelvin Tanjuakio","Report (23); Sales view (11)"
"Domain","domain","string","Confirmed Domain","company_properties","true","","false","false","false","false","false","false","Kelvin Tanjuakio","Sales view (6)"
"MRR","mrr","number","The Monthly Recurring Revenue at time of ticket creation.","company_properties","true","","false","false","false","false","false","false","Kelvin Tanjuakio","Automation platform flow (2); Report (9); Sales view (5); Properties v3 card (1)"
"Tax ID/EIN","tax_id_ein","string","","company_properties","true","","false","false","false","false","false","false","Kelvin Tanjuakio",""
"Churn Category","churn_category","enumeration","","customer_churn","true","[{""label"":""Zeni Problem"",""value"":""Zeni Problem"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""Sales Issue"",""value"":""Sales Issue"",""displayOrder"":1,""hidden"":false,""readOnly"":false},{""label"":""External Factors"",""value"":""External Factors"",""displayOrder"":2,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","false","Brandon Dith-Berry","Automation platform flow (1); Report (14)"
"Churn Reason","churn_reason","enumeration","The reason for a customer churning","customer_churn","true","[{""label"":""Company Shut Down"",""value"":""Company Shut Down"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""Company Sold"",""value"":""Company Sold"",""displayOrder"":1,""hidden"":false,""readOnly"":false},{""label"":""Controller Issue"",""value"":""Controller Issue"",""displayOrder"":2,""hidden"":false,""readOnly"":false},{""label"":""Hired In-House Team"",""value"":""Hired In-House Team"",""displayOrder"":3,""hidden"":false,""readOnly"":false},{""label"":""ICP Misfit"",""value"":""ICP Misfit"",""displayOrder"":4,""hidden"":false,""readOnly"":false},{""label"":""Lack of Funding"",""value"":""Lack of Funding"",""displayOrder"":5,""hidden"":false,""readOnly"":false},{""label"":""Moved to Competitor"",""value"":""Moved to Competitor"",""displayOrder"":6,""hidden"":false,""readOnly"":false},{""label"":""Moved to NetSuite"",""value"":""Moved to NetSuite"",""displayOrder"":7,""hidden"":false,""readOnly"":false},{""label"":""Pricing Issues"",""value"":""Pricing Issues"",""displayOrder"":8,""hidden"":false,""readOnly"":false},{""label"":""Service Issues"",""value"":""Service Issues"",""displayOrder"":9,""hidden"":false,""readOnly"":false},{""label"":""Won Back"",""value"":""Won Back"",""displayOrder"":10,""hidden"":false,""readOnly"":false},{""label"":""Zeni's Decision"",""value"":""Zeni's Decision"",""displayOrder"":11,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","false","Kelvin Tanjuakio","Automation platform flow (3); Report (29); Sales view (6); Properties v3 card (1); Controlling pipeline stage field (1)"
"Customer Churn Date","customer_churn_date","date","The subscription cancellation date in Chargebee. This should be the end of the subscription term that was previously paid for. For 'pauses' – the cancellation date.","customer_churn","true","","false","false","false","false","false","false","Kelvin Tanjuakio","Automation platform flow (5); Report (28); Sales view (1); Dependent conditional field (1); Properties v3 card (1)"
"Action Taken","action_taken","string","The action that was taken to solve for the customer escalation.","customer_success","true","","false","false","false","false","false","false","Kelvin Tanjuakio","Sales view (4); Properties v3 card (1); Controlling pipeline stage field (1)"
"Blocker","blocker","string","The nature of the issue that is blocking the ticket from progressing.","customer_success","true","","false","false","false","false","false","false","Kelvin Tanjuakio","Properties v3 card (1); Controlling pipeline stage field (1)"
"Customer Success Manager","customer_success_manager","enumeration","","customer_success","false","","false","false","false","true","false","false","Brandon Dith-Berry","Automation platform flow (6); Email (1); Properties v3 card (1)"
"Escalation Category","escalation_category_v2","enumeration","This categorization will help us understand the nature of the escalation.","customer_success","true","[{""label"":""AP"",""value"":""AP"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""CFO"",""value"":""CFO"",""displayOrder"":1,""hidden"":false,""readOnly"":false},{""label"":""Churn"",""value"":""Churn"",""displayOrder"":2,""hidden"":false,""readOnly"":false},{""label"":""Onboarding"",""value"":""Onboarding"",""displayOrder"":3,""hidden"":false,""readOnly"":false},{""label"":""Payroll"",""value"":""Payroll"",""displayOrder"":4,""hidden"":false,""readOnly"":false},{""label"":""Pricing"",""value"":""Pricing"",""displayOrder"":5,""hidden"":false,""readOnly"":false},{""label"":""Product"",""value"":""Product"",""displayOrder"":6,""hidden"":false,""readOnly"":false},{""label"":""Service"",""value"":""Service"",""displayOrder"":7,""hidden"":false,""readOnly"":false},{""label"":""Tax"",""value"":""Tax"",""displayOrder"":8,""hidden"":false,""readOnly"":false},{""label"":""Potential Churn"",""value"":""Potential Churn"",""displayOrder"":9,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","false","Kelvin Tanjuakio","Inbounddb lists (2); Automation platform flow (4); Object score property (1); Report (10); Pipeline board view (1); Sales view (7); Dependent conditional field (1); Controlling conditional field (1); Properties v3 card (2); Controlling pipeline stage field (1)"
"Zeni Context","escalation_context","string","A detailed description of the current situation, complication and impact","customer_success","true","","false","false","false","false","false","false","Kelvin Tanjuakio","Automation platform flow (2); Report (1); Pipeline board view (1); Sales view (6); Dependent conditional field (1); Properties v3 card (1); Controlling pipeline stage field (1)"
"Outcome","escalation_outcome","enumeration","The outcome of the escalation.","customer_success","true","[{""label"":""Churn"",""value"":""Churn"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""Discount"",""value"":""Discount"",""displayOrder"":1,""hidden"":false,""readOnly"":false},{""label"":""Downgrade"",""value"":""Downgrade"",""displayOrder"":2,""hidden"":false,""readOnly"":false},{""label"":""Expansion"",""value"":""Expansion"",""displayOrder"":3,""hidden"":false,""readOnly"":false},{""label"":""New Plan"",""value"":""New Plan"",""displayOrder"":4,""hidden"":false,""readOnly"":false},{""label"":""Saved"",""value"":""Saved"",""displayOrder"":5,""hidden"":false,""readOnly"":false},{""label"":""Team Change"",""value"":""Team Change"",""displayOrder"":6,""hidden"":false,""readOnly"":false},{""label"":""Underway"",""value"":""Underway"",""displayOrder"":7,""hidden"":false,""readOnly"":false},{""label"":""Upgrade"",""value"":""Upgrade"",""displayOrder"":8,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","false","Kelvin Tanjuakio","Inbounddb lists (2); Automation platform flow (6); Object score property (1); Report (44); Sales view (8); Properties v3 card (1); Controlling pipeline stage field (1)"
"Proposed Solution","escalation_resolution","string","The documented resolution to solve for the escalation.","customer_success","true","","false","false","false","false","false","false","Kelvin Tanjuakio","Automation platform flow (1); Sales view (4); Properties v3 card (1); Controlling pipeline stage field (1)"
"Next Steps","next_steps","string","The Next Steps now that the ticket has come to close.","customer_success","true","","false","false","false","false","false","false","Kelvin Tanjuakio","Automation platform flow (1); Sales view (4); Properties v3 card (1); Controlling pipeline stage field (1)"
"Out of Scope","out_of_scope","enumeration","This is a field to determine whether an escalation/customer request is out of scope of current contract agreement. If you are unsure at time of ticket creation, mark unsure.","customer_success","true","[{""label"":""Yes"",""value"":""Yes"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""No"",""value"":""No"",""displayOrder"":1,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","false","Kelvin Tanjuakio","Report (2); Dependent conditional field (1); Properties v3 card (1)"
"Customer Transition/Clockify/Hubspot/Resource Sheet Updation Status","customer_transition_clockify_hubspot_resource_sheet_updation_status","enumeration","Customer Transition/Clockify/Hubspot/Resource Sheet Updation Status","employee_offboarding","true","[{""label"":""🔴 Pending"",""value"":""🔴 Pending"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""🟡 In Progress"",""value"":""🟡 In Progress"",""displayOrder"":1,""hidden"":false,""readOnly"":false},{""label"":""🟢 Deactivated"",""value"":""🟢 Deactivated"",""displayOrder"":2,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","false","Lovesh Sharma","Automation platform flow (2); Sales view (1); Properties v3 card (1)"
"Front Account Deactivation Status","front_account_deactivation","enumeration","","employee_offboarding","true","[{""label"":""🔴 Pending"",""value"":""🔴 Pending"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""🟡 In Progress"",""value"":""🟡 In Progress"",""displayOrder"":1,""hidden"":false,""readOnly"":false},{""label"":""🟢 Deactivated"",""value"":""🟢 Deactivated"",""displayOrder"":2,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","false","Lovesh Sharma","Automation platform flow (3); Sales view (1); Properties v3 card (1)"
"Last Working Day","last_working_day","date","Last Working Day with Zeni","employee_offboarding","true","","false","false","false","false","false","false","Lovesh Sharma","Form (1); Properties v3 card (1)"
"QBO Access/Dashlane Access/ Third Party Tools Status","qbo_access_dashlane_access__third_party_tools_status","enumeration","QBO Access/Dashlane Access/ Third Party Tools Status","employee_offboarding","true","[{""label"":""🔴 Pending"",""value"":""🔴 Pending"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""🟡 In Progress"",""value"":""🟡 In Progress"",""displayOrder"":1,""hidden"":false,""readOnly"":false},{""label"":""🟢 Deactivated"",""value"":""🟢 Activated"",""displayOrder"":2,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","false","Lovesh Sharma","Automation platform flow (3); Sales view (1); Properties v3 card (1)"
"Customer Goals","customer_goals","string","Adding customer goals to this ticket will help the team to identify the customer goals and work accordingly ","goals","true","","false","false","false","false","false","false","Lovesh Sharma",""
"Reason for Purchase (by service)","reason_for_purchase__by_service_","string","","goals","true","","false","false","false","false","false","false","Kelvin Tanjuakio",""
"Associated Company","associated_company","string","","implementation_ticket_audit_","false","","false","false","false","false","false","false","Brandon Dith-Berry","Automation platform flow (1)"
"Associated Contact","associated_contact","string","","implementation_ticket_audit_","false","","false","false","false","false","false","false","Brandon Dith-Berry","Automation platform flow (1)"
"Audit Complete","audit_complete","enumeration","Audit Complete","implementation_ticket_audit_","true","[{""label"":""Yes"",""value"":""Yes"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""No"",""value"":""No"",""displayOrder"":1,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","false","Lovesh Sharma","Report (1)"
